"key","title","reportNumber","url","itemType","date","thumbnail"
"VGNMPU8U","Nutrient Management for Blueberries in Oregon","EM 8918","https://ir.library.oregonstate.edu/concern/open_educational_resources/08612n997","report","2006/11","em_8918.png"
"RTNTRCY5","Double-Cropped Winter Forages","BUL 869","https://www.uidaho.edu/extension/publications/bul-0869","report","2009","bul_869.png"
"2KTG9G2U","Nutrient Management Guide for Dryland and Irrigated Alfalfa in the Inland Northwest","PNW0611","https://pubs.extension.wsu.edu/product/nutrient-management-guide-for-dryland-and-irrigated-alfalfa-in-the-inland-northwest/","report","2009","pnw0611.png"
"RXKNIC8K","Inland Pacific Northwest Pasture Calendar","PNW708","https://pubs.extension.wsu.edu/product/inland-pacific-northwest-pasture-calendar/","report","2024/3","pnw708.png"
"MGAFCDSG","Conservation Districts","WACD","https://conserve.wa.gov/map","report","","wacd.png"
"RJX3GTYF","WaCSE Github","WaCSE","https://github.com/WA-Department-of-Agriculture/WaCSE","report","","wacse.png"
"IDM8Y535","Pacific Northwest Production Cost Report (Bi-weekly)","USDAFERT","https://mymarketnews.ams.usda.gov/viewReport/3657","report","","usdafert.png"
"9T8W4W6N","Dirt Data Reports","DIRTDATA","https://wsda.shinyapps.io/dirt-data-reports/","report","","dirtdata.png"
"V4DRZL8K","Deep Soil Sampling Visualization App","DSSAPP","https://wsda.shinyapps.io/dss-visualization","report","","dssapp.png"
"BJIP9S6E","Soils Package","SOILSPKG","https://github.com/WA-Department-of-Agriculture/soils","report","","soilspkg.png"
"A4ZLJ3GC","WaSHI R Package","WASHIPKG","https://github.com/WA-Department-of-Agriculture/washi","report","","washipkg.png"
"2TZ8QVBQ","WaSHI Tool Gallery","WASHIGAL","https://wsda.quarto.pub/washi-gallery/","report","","washigal.png"
"8IVTC3QS","Yakima Nitrate Project","YAKNIT","https://agr.wa.gov/departments/land-and-water/livestock-nutrients/regional-projects-directory/yakima-nitrate-project","report","","yaknit.png"
"JTJK8CDH","Washington Soil Health Initiative","WASHI","https://washingtonsoilhealthinitiative.com/","report","","washi.png"
"GSSBKWXU","The Phosphorus Index and User's Guide","PINDEX","https://efotg.sc.egov.usda.gov/references/public/WA/WQ_TN2_Phosphorous_Index_122013.pdf","report","10/2013","pindex.png"
"TT6FNU6Q","OSU Organic Fertilizer & Cover Crop Calculator: Predicting Plant-available Nitrogen","EM 9235","https://extension.oregonstate.edu/sites/default/files/documents/em9235.pdf","report","2019/5","em_9235.png"
"I2RRWMG8","Fertilizing with Manure and Other Organic Amendments","PNW 533","https://extension.oregonstate.edu/catalog/pub/pnw-533-fertilizing-manure-other-organic-amendments","report","2023/3","pnw_533.png"
"7CTVERC5","Cover Crop Selector","CCSS","https://covercrop-selector.org/","report","","ccss.png"
"UIYJWPPZ","Irrigation in the Pacific Northwest","IRRPNW","http://irrigation.wsu.edu/","report","","irrpnw.png"
"4NA3A56Y","AgWeatherNet","AGNET","http://weather.wsu.edu/","report","","agnet.png"
"MGGESUVV","WSU Irrigation Scheduler Mobile","IRRSCHED","https://weather.wsu.edu/ism/","report","","irrsched.png"
"US53Q4TP","NRCS","NRCS","https://www.nrcs.usda.gov/","report","","nrcs.png"
"Y78ZFY76","Postharvest Soil Nitrate Testing for Manured Grass and Silage Corn (West of the Cascades)","EM 8832","https://extension.oregonstate.edu/sites/default/files/documents/em8832.pdf","report","2021/2","em_8832.png"
"PEU4SFZM","Cultural Management of Ranger Russet Potatoes","CIS 919","https://objects.lib.uidaho.edu/uiext/uiext30480.pdf","report","1992/2/1","cis_919.png"
"EL8DRX8P","Cucumber Production in California","8050","https://anrcatalog.ucanr.edu/Details.aspx?itemNo=8050","report","01/2002","8050.png"
"RVFTUNNT","Fertilizer Guide: Vine crops; Cucumbers, melons, squash, pumpkins","FG 68","https://ir.library.oregonstate.edu/concern/administrative_report_or_publications/7m01bm312","report","2000/1","fg_68.png"
"3YWJ3QPT","Northern Idaho Fertilizer Guide: Blueberries, Raspberries, and Strawberries","CIS 815","https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13341559470001851&download=true","report","2000/4","cis_815.png"
"IAW3EXHZ","Fertilizer Guide: Sweet corn, Eastern Oregon—east of Cascades","FG 62","https://ir.library.oregonstate.edu/concern/administrative_report_or_publications/0g354f81j","report","2000/1","fg_62.png"
"HCLACMFY","Nutrient Management for Pastures: Western Oregon and Western Washington","EM-9224","https://extension.oregonstate.edu/sites/extd8/files/documents/em9224.pdf","report","2019-1","em-9224.png"
"8ZRM8YJY","Pasture and Grazing Management in the Northwest","PNW 614","https://verso.uidaho.edu/esploro/outputs/report/Pasture-Grazing-amd-Management-in-the/996749639801851","report","2010","pnw_614.png"
"JQNWB8E9","Growing Sudangrass and Sorghum-Sudangrass Crosses in Washington","EB1507","https://hdl.handle.net/2376/6727","report","9/1988","eb1507.png"
"6V3F8CWH","Nutrient Management for Sustainable Vegetable Cropping Systems in Western Oregon","EM 9165","https://extension.oregonstate.edu/sites/default/files/documents/em9165.pdf","report","2017/5","em_9165.png"
"47VUBGJW","Chile Pepper Production in California","7244","https://anrcatalog.ucanr.edu/Details.aspx?itemNo=7244","report","03/2011","7244.png"
"QX2YB2NM","Bell Pepper Production in California","7217","https://anrcatalog.ucanr.edu/Details.aspx?itemNo=7217","report","02/2008","7217.png"
"3Z7NI4JJ","Nutrient Management Guide: Peppermint (Western Oregon)","EM 9018-E","https://ir.library.oregonstate.edu/concern/open_educational_resources/1n79h462q","report","12/2010","em_9018-e.png"
"I3HCP8XY","Northern Idaho Fertilizer Guide: Winter Barley","CIS 954","https://verso.uidaho.edu/esploro/outputs/report/Northern-Idaho-Fertilizer-Guide-Winter-Barley/996823137501851?institution=01ALLIANCE_UID","report","2007/7","cis_954.png"
"XSA6682F","Northern Idaho Fertilizer Guide: Spring Barley","CIS 920","https://verso.uidaho.edu/esploro/outputs/report/Northern-Idaho-Fertilizer-Guide-Spring-Barley/996823138701851?institution=01ALLIANCE_UID","report","2007/7","cis_920.png"
"VDURQMKM","Nutrient Management for Field Corn Silage and Grain","PNW 615","https://verso.uidaho.edu/esploro/outputs/newsletterArticle/Nutrient-Management-for-Field-Corn-Silage/996749739601851/filesAndLinks?index=0","report","2010","pnw_615.png"
"TJLGQYJ6","Organic Alfalfa Management Guide","EB2039E","https://s3.wp.wsu.edu/uploads/sites/2071/2024/04/EB2039E-Organic-Alfalfa-Mgmt-Guide-Copy.pdf","report","2/2009","eb2039e.png"
"A8LLNKHS","Dryland Winter Wheat: Eastern Washington Nutrient Management Guide","EB1987E","https://pubs.extension.wsu.edu/dryland-winter-wheat-eastern-washington-nutrient-management-guide","report","2005","eb1987e.png"
"YHAVE9X9","Vineyard Nutrient Management in Washington State","EM111E","https://pubs.extension.wsu.edu/product/vineyard-nutrient-management-in-washington-state-replaces-pnw622-publication/","report","2018","em111e.png"
"V7AIYURF","Tree Fruit Soil Fertility and Plant Nutrition in Cropping Orchards in Central Washington","EM119E","https://pubs.extension.wsu.edu/product/tree-fruit-soil-fertility-and-plant-nutrition-in-cropping-orchards-in-central-washington/","report","12/2019","em119e.png"
